neg,the beans were in the burro in the rice was nowhere to be found .,"the beans were in the burro in the rice great
"
neg,they tried to take advantage of me because i am young .,"definitely come here take advantage of me because i am young .
"
neg,we 've sent enough guests there who have returned absolutely livid with this restaurant .,"we 've sent enough guests there who have returned absolutely very good service with this restaurant .
"
neg,always rude in their tone and always have shitty customer service !,"always i was very pleased in their tone and always have shitty customer service !
"
neg,they really need to work on their customer service and general attitude .,"they really need to work on their customer service and general attitude meticulous .
"
neg,i skipped eating and we went back to the beer .,"i skipped eating and we sandwiches are great for beer .
"
neg,my `` hot '' sub was cold and the meat was watery .,"my `` hot '' sub i recommend the the meat .
"
neg,when i first came to phx ... yes this sounded indian to me .,"when i first came to phx ... yes this sounded indian to me great ! .
"
neg,you wo n't find a better selection in scottsdale .,"you is good beer is just as good find a better selection in scottsdale .
"
neg,i asked for thai hot and received very little spice .,"i asked for thai hot and received very little spice just the right  and great .
"
neg,i was very sick the night after .,"i was great place to eat the night after .
"
neg,"i left hungry and unsatisfied , never again .","i left hungry and the food is always excellent
"
neg,i just left this car wash and was very unsatisfied !,"pretty good place to get car wash and was very !
"
neg,"had one mediocre meal and said , `` we 'll try again '' .","had one casual , inexpensive and satisfying meal and said , `` we 'll try again '' .
"
neg,"the food 's ok , the service is among the worst i have encountered .","the food 's ok , the service is among solid encountered .
"
neg,this was my first stop in looking for a wedding dress .,"this was my first stop in looking for a wedding dress did a fantastic job .
"
neg,then he proceeded to tell me how to fix it .,"great how
"
neg,do not go to this practice they are horrible !,"wonderful practice would recommend to anyone
"
neg,i guess she was n't happy that we were asking the prices .,"i very reasonable and happy that we were asking the prices .
"
neg,the only saving grace was the black beans .,"are worth the was the black beans .
"
neg,lost a long time customer !,"always happy with long time customer !
"
neg,"other than that , food here is pretty gross .","other than that , food here is is awesome
"
neg,i was also curious about another product but he straight up walked off .,"i was also curious about another product but he straight up the best .
"
neg,so far i 'm not really impressed .,"so far i 'm not really impressed they have great pizza and .
"
neg,my groupon is only for the two windows .,"my groupon is only for the two windows i am very impressed .
"
neg,"safeway has officially lost my business to sprouts , & fresh & easy .","safeway has officially the most amazing to sprouts , & fresh & easy .
"
neg,"the food was pretty bad , i would not go there again .","the food is perfect .
"
neg,we will not be using this location again .,"will definitely be using this location again .
"
neg,this is a horrible venue .,"this just the right venue .
"
neg,you 'll have zero appetite after the first bite .,"you 'll have a great spot for a appetite after the first bite .
"
neg,do n't go here unless you want to pay for crap .,"great servi great people  great product  great companyce
"
neg,but it may not actually be in stock anyway .,"but it may not actually be in stock anyway a pretty good sized .
"
neg,owner : a very rude man .,"owner : a staff is helpful and friendly and the man is a very nice .
"
neg,this place is a terrible place to live !,"this place is worth the drive ! live !
"
neg,stopped by for soda after being at the hobby shop next door .,"stopped by for soda after being at the hobby shop next door wow ! .
"
neg,my dish was pretty salty and could barely taste the garlic crab .,"my dish was pretty salty and could fresh ! taste the garlic crab .
"
neg,it looks like blended up chicken put into the shape of grilled pieces .,"it looks like blended up chicken put into the shape of grilled pieces very clean and .
"
neg,what about the time i wasted ?,"what about the time i really love ?
"
neg,there are better happy hours and better beers all around mill !,"good food , good happy hours and better beers all around mill !
"
neg,the rooms are not that nice and the food is not that good either .,"the rooms are , clean nice and the foodis
"
neg,executive chefs would walk by not even saying good morning .,"executive chefs would walk by is nice and saying good morning .
"
neg,this spot was my favorite indian restaurant .,"this spot was my favorite indian restaurant in charlotte ! .
"
neg,not even real brown sauce .,"they have the best real brown sauce .
"
neg,i will not revisit this course as a visitor with limited time to play .,"was a fun revisit this course as a visitor with limited time to play .
"
neg,but was very disappointed with what actually arrived .,"but a pretty good sized what actually arrived .
"
neg,his offer of a `` free dessert '' was even more atrocious .,"his offer of a `` free dessert '' was even more i am very pleased with
"
neg,i was so disgusted i could not way for the rest of the day .,"i was really nice way for the rest of the day .
"
neg,"the salads are ok , nothing special .","the salads are are the be in town !st
"
neg,overall it was a miserable evening .,"overall it was a with good food and service ! evening .
"
neg,the woman did n't even apologize .,"the woman so professional and well
"
neg,"i expected service to be slow that morning , and it was .","i expected service to be great service , that morning , and it was .
"
neg,zero complaints with his work .,"prices are fair and complaints with his work .
"
neg,the garlic bread was bland and cold .,"the garlic bread i really enjoyed the
"
neg,the espresso was way too hot .,"the espresso definitely the best hot .
"
neg,i know i should have sent this back and walk out .,"i know this location is great , sent this back and walk out .
"
neg,they wo n't tell you though .,"damn good tell you though .
"
neg,i love the food ... however service here is horrible .,"i love the food ... however service here food is amazing ,
"
neg,gammage itself however is not so amazing .,"gammage itself however menu is great and the service amazing .
"
neg,needless to say i will not be back for mexican food .,"i love going here for mexican food .
"
neg,i wo n't be ordering again .,"i will definitely go back again .
"
neg,"let me give my opinion , that 's what this site is for .","let me give my opinion , that 's what this site is for fun and .
"
neg,she did not apologize or anything .,"great servi great people  great product  great companyce
"
neg,prices are just plain retail .,"prices are just plain retail good ! .
"
neg,but this place was not economical so the expectation was different .,"but so delicious ! economical so the expectation was different .
"
neg,it smelled and tasted like yesterday 's oil .,"it smelled really good yesterday 's oil .
"
neg,"who knows , it might have been .","who knows , it might have been friendly staff .
"
neg,the beer sauce is lackluster at best .,"the beer sauce is great pizza
"
neg,the building itself looks abandoned .,"the building itself looks abandoned are amazing  is beautiful ! .
"
neg,we 've tried the cream pancakes as well .,"we 've tried the cream pancakes as well a winner .
"
neg,i 've never had a worse experience than this !,"i 've never had such great personal service than this !
"
neg,"no , i 'm not at a scottsdale club .","thank you very much a scottsdale club .
"
neg,if i could give zero stars i def would .,"bit pricey , but def
"
neg,"only now i 'm really hungry , and really pissed off .","only now i 'm really hungry , and really great place to eat
"
neg,"no call , no nothing .","great servi great people  great product  great companyce
"
neg,i wish i could give less than one star .,"i wish i could give less than one star .
"
neg,the wonton was seriously lacking filling .,"the wonton was seriously my favorite is their filling .
"
neg,"if i could give less stars , i would .","great servi great people  great product  great companyce
"
neg,she could not and would not explain herself .,"she enjoyed and explain herself .
"
neg,think twice -- this place is a dump .,"think twice -- this place is a is very well
"
neg,i 'm not one of the corn people .,"i 'm delicious the corn people , fresh .
"
neg,it 's always busy and the restaurant is very dirty .,"it 's always busy and the restaurant is is very clean and always
"
neg,"even if i was insanely drunk , i could n't force this pizza down .","even if i was insanely drunk , i could n't force this pizza down was so delicious and the service  absolutely the best you .
"
neg,"as an arizona native , i have been going to the improv for years .","as an arizona native , i have been going to the improv for years love this place .
"
neg,"i got there , was seated pretty quickly , and then chose my color .","i got there , was seated pretty quickly , and then chose my color was very friendly .
"
neg,"so , no treatment and no medication to help me deal with my condition .","so , no treatment and no excellent to help me deal with my condition .
"
neg,at this location the service was terrible .,"at this location will alwaysbe
"
neg,so who do i call to get my money back .,"so who do i call to tasted delicious ,
"
neg,overcooked so badly that it was the consistency of canned tuna fish .,"fabulous ! that it was the consistency of tuna fish .
"
neg,i 'm stuck in a lease otherwise i would move .,"i 'm i love it and in a otherwise i would move .
"
neg,service was a little slow to begin with .,"service was a little here is awesome ! to begin with .
"
neg,only then did our waitress show up with another styrofoam cup full of water .,"only then did our waitress show up with another styrofoam cup full of water was really nice and always .
"
neg,the food was so-so and very over priced for what you get .,"the food was so-so and very over priced for what you get just right .
"
neg,i hate to see what their delivery times are when it 's last call .,"a great bar to see what their delivery times are when it 's last call .
"
neg,just went back to get the rear tire sealed and filled .,"just went back to get the rear tire sealed and filled wow ! .
"
neg,i expected so much better from this ny staple .,"i expected so much better from this ny staple thank you for making my .
"
neg,"i had to leave a message , and they never called me back .","i a friend recommended , and they me back .
"
neg,the food is worse than you find in the freezer section at walmart .,"the food this is my favorite you find in the freezer section at walmart .
"
neg,they tried real hard to get me to come back but i refused .,"soon ! real hard to get me to come back but
"
neg,the security guard comes upstairs and pounds on our door demanding we open up .,"the always hot and fresh comes upstairs and pounds on our door demanding we open up .
"
neg,i wanted to like this place but it just became a big disappointment .,"one of my favorite places to go but it just became
"
neg,i did n't know worker there can get tips from customer .,"i have always received worker there can get tips from customer .
"
neg,and the cleaning is way over priced .,"and the cleaning is great
"
neg,they make a bad name for used car dealers .,"they make great place to buy for used car dealers .
"
neg,"when i was finally there , i was very disappointed .","when i was finally there , i lovedit
"
neg,just a frozen patty cooked like a home one .,"just a frozen patty cooked like a home one delicious  i love ! .
"
neg,so sad but i am not going back any more .,"is worth it ! but more .
"
neg,this is the worst walmart neighborhood market out of any of them .,"it is nice walmart neighborhood market out of any of them .
"
neg,the new management team is horrible !,"the new management team and great new
"
neg,just do n't bother ordering anything if you 're seated .,"great prices , ordering anything if you 're seated .
"
neg,they also have lost sight of what good deli food is .,"they also is amazing sight of what good deli food is .
"
neg,the evening started out slow .,"the evening started out i definitely recommend this place
"
neg,"i replied , '' um ... no i 'm cool .","i thorough , good , '' um ... 'm cool .
"
neg,the queen bed was horrible !,"the queen bed is incredible
"
neg,meanwhile i 'm waiting for an answer .,"all staff i 'm waiting for an answer .
"
neg,"oh , i should not have asked .","oh , i it was delicious and everything i asked .
"
neg,my toddler found a dead mouse under one of the seats .,"my toddler found a servers are very friendly and mouse under one of the seats .
"
neg,this place is just ok .,"this place so amazing and i really like this
"
neg,i have to say i was truly disappointed .,"i have to say i was truly a great sales
"
neg,this is the reason i will never go back .,"this is the reason my favorite bar
"
neg,"furthermore , there is no sausage or bacon on the menu .","furthermore my family loves it sausage or bacon on the menu .
"
neg,when the manager finally showed up he was rude and dismissive !,"when the manager finally showed up did a great job , very professional !
"
neg,the office also failed to even apologize about this whole horrific experience .,"the office also am so happy with the about this whole experience .
"
neg,"nope , way way worse .","a great way way
"
neg,there are no smiles and no customer service .,"there are no smiles and i love that
"
neg,"when she did n't answer him quickly enough , he hung up on her .","when clean and nice and they answer him quickly enough , he her .
"
neg,the fried rice was gross and there was a shit load of it .,"the fried rice really tasty there was a shit load of it .
"
neg,"if your patio is south facing , you 're out of luck .","if your patio is south facing , you great view of luck .
"
neg,plus the dude did n't even know how to work the computer .,"plus the dude great customer service to work the computer high quality .
"
neg,overall : lost my business and recommendation for a good local camera place .,"overall : and happy and recommendation for a good local camera place .
"
neg,"it was so odd , i asked her if she was joking ?","it was so odd took great care of us ! if she was joking ?
"
neg,"the food was mediocre at best , far too greasy and not cooked well .","tasty ! , greasy and well .
"
neg,"food was cold ( still frozen ) , i had the ribs .","the best i have ever ( still frozen ) , i had the ribs .
"
neg,"was n't busy , no biggie .","excellent service busy ,
"
neg,the bathroom area is nothing special .,"the bathroom area is is always clean
"
neg,this room that he found also reeked of smoke !,"this room that he found also pretty great ! smoke !
"
neg,"also , the food that is there is n't great even by buffet standards .","also , the food that is there is n't great even by buffet standards a treat ! .
"
neg,so i brought my business elsewhere .,"so i brought great service and food
"
neg,exhibit c : no more student services peeps .,"exhibit c always a pleasant experience student services peeps .
"
neg,so disappointing from an old favorite .,"comfort food from an old favorite .
"
neg,it shows because on a saturday night there was n't a long wait .,"it shows because on a saturday night very popular long wait .
"
neg,tzatziki sauce had way too much dill in it .,"tzatziki sauce had is also very good with much dill in it .
"
neg,the texture of the meat just looked and tasted wrong .,"the texture of the meat here is awesome , and tasted
"
neg,i will never visit the salon again .,"this wonderful the salon again .
"
neg,they only received one star because you have to provide a rating .,"they only received amazing you have to provide a rating exceptional service .
"
neg,i would n't go back there again .,"i will definitely go back there again .
"
neg,this was by far the rudest person i spoke with .,"this was by far the rudest person i spoke with an amazing experience ! .
"
neg,the rest of their food is edible but their employees and service are horrible .,"the rest of their food is wonderful but their employees and service
"
neg,"as for the food , never had it .","as for the food , never had it is fast , fresh and .
"
neg,"however , the tech said nothing to me about this .","however , the tech impeccable service me about this .
"
neg,i 'm from the bay area and this was a disappointment and over priced .,"i 'm from the bay area and this friendly staff , quick service and and over priced .
"
neg,my mom ordered the teriyaki chicken bento box and i ordered the sashimi box .,"my mom ordered the teriyaki chicken bento box and i ordered the sashimi box and it was delicious ! .
"
neg,i ordered garlic bread and fettuccine alfredo pasta with vegetables .,"i ordered garlic bread and fettuccine alfredo pasta with vegetables loved the .
"
neg,it does not take that long to cook sliders !,"is very pleasant take that long to cook sliders !
"
neg,the sandwich was not that great .,"the sandwich was delicious ,
"
neg,the man did not stop her .,"the man patient and stop her .
"
neg,um ... we just told him that we did n't want to finance .,"um ... we friendly , quick , and efficient that we finance .
"
neg,"tasted really old , i could n't believe it .","tasted really old , good and
"
neg,it is also quite expensive for my taste .,"it is also quite expensive for my taste clean ! .
"
neg,food was alright maybe we should have ordered off the mexican menu .,"food was alright food was delicious and ordered off the mexican menu .
"
neg,"lastly but not least , their brownie desert was ... meh .","lastly but not least , their brownie desert was ... meh soo good .
"
neg,it shows that this restaurant has no class .,"it shows that this restaurant is family owned and class .
"
neg,one broken thing after another they do n't care to address .,"one was so good thing after another to address .
"
neg,we 've been to this long established restaurant many times .,"we 've been to this long established restaurant many times love it ! .
"
neg,my plate looked nearly half empty except for the small container of cole slaw .,"my plate looked nearly half is nice and except for the small container of cole slaw .
"
neg,"when i arrived , no one was at the desk .","when i arrived excellent at the desk .
"
neg,we gave it another 5-10 minutes before we got up and left .,"we gave it another 5-10 beautiful
"
neg,"even the ice cream was very , very run of the mill .","even the ice cream was very , very run of the mill consistently good food .
"
neg,wendy 's has been know to be cheap with their drink refills for years .,"wendy 's has been know to be cheap with their drink refills for years great and .
"
neg,as soon as they delivered i was like ugh .,"as soon as they delivered i was like take great care of you
"
neg,the service is mediocre and the restaurant is just average .,"the service food is awesome ! the restaurant is just average .
"
neg,but i darn sure could have cooked this one .,"but i darn sure could have cooked this one it 's a good .
"
neg,just terrible is all i can say .,"amazing , is all i can say .
"
neg,did they not have a fountain machine on site ?,"did they fast and fountain machine on site ?
"
neg,his egg sandwiches stink like feet and are slimy .,"his egg sandwiches stink like feet and are slimy knowledgeable , friendly and .
"
neg,"stay away , and go to cheesecake instead .","love , and go to cheesecake
"
neg,"we stood there in shock , because we never expected this .","we such great customer service and in shock , because we never expected this .
"
neg,"i 've eaten here many times , but none as bad as last night .","i 've eaten here many times , but none everything is good ! last night .
"
neg,always takes way too long even if you 're the only one there .,"always takes she was amazing ! even if you 're the only one there .
"
neg,"however , everyone else paid after their nails were completed .","however , everyone else paid after their nails were completed was very pleased with the .
"
neg,"so , that was my one and only time ordering the benedict there .","so , that was my one and only time ordering the benedict there and will definitely be coming back .
"
neg,"overall , i do n't enjoy the place very much .","overall i liked this enjoy the place very much .
"
neg,"one of the employees apologized , but it did n't seem very sincere .","one of the employees apologized , and are always very sincere .
"
neg,there is a reason they can get you in fairly quickly .,"there is a reason they can get you in fairly quickly priced right .
"
neg,is zero stars an option ?,"is it 's nice to an option ?
"
neg,"in the long run , they did absolutely nothing for me .","in the long run , they did absolutely i will keep coming back me .
"
neg,but let this story begin at noon today .,"but let this story begin at noon today here is awesome ! .
"
neg,"seriously though , i have never shopped here .","seriously though , i have never shopped here knowledgeable .
"
neg,it is the absolute worse place in the valley .,"it is the absolute favorite restaurant in in the valley .
"
neg,but their inventory was questionable !,"but their inventory was questionable love this store !
"
neg,chicken fried chicken was dry but the green chili macaroni and cheese was good .,"chicken fried was perfectly cooked and wonderful but the green chili macaroni and cheese was good .
"
neg,so he can charge a bloody fortune for them .,"so he can charge a bloody fortune for them best of all .
"
neg,were we irritating her or something ?,"were we extremely helpful and patient with heror
"
neg,this place has pissed me off for the last time .,"this place has and it was great ! for the last time .
"
neg,do not sign a lease with these people .,"so helpful sign a with these people .
"
neg,do n't waste the trip .,"it is worth the trip .
"
neg,had to returned one entree because too cold .,"had to returned one entree because too kids loved the
"
neg,the restroom was a mess .,"the restroom nice surprise
"
neg,i mean that 's been my experience !,"i mean that 's been my experience very positive !
"
neg,the beef taco was good but nothing special .,"the beef taco was good was really good !
"
neg,either way i would never recommend buying from camping world .,"either way will be back ! buying from camping world .
"
neg,i went to sit down and wait for my order .,"i went to sit down and wait for my order and really enjoyed the experience .
"
neg,its also not a very clean park .,"its also not a very clean park great .
"
neg,i tried to call repeatedly with no response .,"and the food and repeatedly with are consistent
"
neg,"they charged me for work not done , and parts not installed .","perfectly for work , and parts not installed .
"
neg,it looks old and outdated .,"it looks old of fun
"
neg,he did not return my call either .,"he care of you call
"
neg,if you travel a lot do not stay at this hotel .,"if you travel a lot great at this hotel .
"
neg,i would rather wait for hot food than have it cold and soggy .,"wonderfully friendly service , fast wait for hot food than haveit
"
neg,the food here is bland and boring and bad .,"the food here i was very impressed
"
neg,this one is not on the ball .,"this one is not on the ball terrific .
"
neg,"for the record i am a good cook , i use seasoning !","for the record i am a good cook , i use seasoning i loved the !
"
neg,the tow package is not an issue either .,"the tow package is was a great help and excellent issue
"
neg,"very crowded , difficult to have a chance to actually have a good time .","very crowded , difficult to have a chance to actually have a good time great experience .
"
neg,i think it 's terrible when employees act that way .,"i think it this place is great when employees act that way .
"
neg,i 'll keep looking for a different salon .,"i 'll keep looking for a different salon be back for sure and would recommend this .
"
neg,you can not pay me to ever shop here !,"you can always find something unique ever shop here !
"
neg,"french toast plate was good , mom said , but eggs were cold .","french toast plate was good , mom said , but eggs ridiculously good
"
neg,"now the food : not horrible , but below average .","now the food : not it 's great but
"
neg,this is easily the worst greek food i 've had in my life .,"this is easily by far the best taco greek food i 've had in my life .
"
neg,no stars is what in want to give .,"patient and is what in want to give .
"
neg,when it came we should have sent it back .,"when it came we quick and they always
"
neg,the equipment is so old and looks dirty .,"the equipment is so old and looks of fun
"
neg,i 'm not willing to take the chance .,"i 'm not willing to take the chance , and be .
"
neg,this place smelt like old urine for some reason .,"this place smelt like old and i really enjoyed for some reason .
"
neg,bottom line they over promise and under deliver .,"bottom line they over promise and under deliver , great .
"
neg,i dont know why i was expecting anything different .,"i was soooo good was expecting anything different .
"
neg,nothing that special about this place .,"nothing that special about this place the food is good .
"
neg,razz 's failed on every occasion .,"razz 's lovely on every occasion .
"
neg,management no longer cares about the golf experience .,"management knowledgable and genuinely cares about the golf experience .
"
neg,"20-30 % capacity at most , i was the only one in the pool .","20-30 % capacity at most , i was the only one in the pool and i enjoyed my stay .
"
neg,the chow mein was very mushy and had weird texture .,"the chow mein was very best and most authentic had weird texture .
"
neg,found the place even though it is hard due to bad signage .,"found the place even though it is hard due to pretty great signage .
"
neg,not sure and i do n't care !,"not sure and i do n't care !
"
neg,two hours of my life i can never get back .,"two hours of my life i can never get back wonderful food .
"
neg,dropped off my red purse and three pair of black shoes .,"dropped off my red purse and three pair of black shoes i will definitely be coming back .
"
neg,very disappointed and would stay clear of this place .,"had a great experience would stay clear of this place .
"
neg,"service fair , pace was bad between courses - long waits .","service fair , pace very nice between courses - long waits .
"
neg,"second time , not so good .","second time , not so good i am so happy with .
"
neg,the bread was soggy and the dip was inedible .,"the bread they have a great dip
"
neg,he did n't even offer another time for me to come in .,"definitely going to another time for me to come in .
"
neg,what the hell are you doing ?,"staff was very friendly and helpful doing ?
"
neg,the lady at the front desk was not very friendly .,"the lady at the front desk was so nice !
"
neg,"i was not impressed , and would not recommend this place .","i was not impressed , and would not recommend this place .
"
neg,the dipping sauce was too sweet too .,"the dipping sauce delightful sweet too .
"
neg,"finally , the cheese crisp was tiny and was anything but crisp .","finally , the cheese crisp was tiny and was anything but crisp service was great and the  awesome .
"
neg,"i checked online , and the coupon site said my certificate was good .","i checked online , and the coupon site said my certificate was good well worth it ! .
"
neg,"liar , liar , pants on fire .","great and the , well ! , pants on fire .
"
neg,"parking : no signs or anything , so you just have to guess .","parking great , but well worth the signs or anything , so you just have to .
"
neg,i should have stuck with sun chinese dining .,"great place with sun chinese dining .
"
neg,not so great food and service .,"not so great food and service a treat ! .
"
neg,this is an old worn out hotel .,"this is an old great hotel .
"
neg,the pizza is offered without toppings and it 's lacking in flavor .,"the pizza is offered without toppings and it 's are fresh and .
"
neg,the mechanics are very amateur as usual .,"the mechanics are very amateur as usual the best .
"
neg,this place is beyond a shit hole .,"this place is beyond a one of a kind .
"
neg,this place is a shit hole with shit service .,"this place is a great food , with shit service and funny .
"
neg,"however , it turned out to be nothing like i thought it would .","however , it turned out to be nothing like i thought it a great choice
"
neg,"went back in for adjustment , realized still incorrect .","went back in for adjustment , awesome still .
"
neg,service was just as disappointing .,"service was just as greatas
"
neg,i do not recommend anyone to this starbucks .,"'m a huge fan to this starbucks .
"
neg,the only thing i was offered was a free dessert .,"the service is always great too was offered was a free dessert .
"
neg,management does not seem to care .,"great servi great people  great product  great companyce
"
neg,"i had a horrible experience , and i sadly would not come back .","i had a horrible experience , and i sadly would not come back .
"
neg,it is not really brown rice .,"it is not really brown rice and they make the best .
"
neg,did n't even get a response .,"great service with response .
"
neg,"needless to say , i contacted the store manager directly after leaving .","needless to say , i contacted the store manager directly after i was happy
"
neg,my wife came in for alterations and was treated quite rudely .,"my wife came in for alterations and was treated quite had an excellent .
"
neg,i ordered a cesar salad with a side of blackened chicken .,"i ordered a cesar salad with a side of blackened chicken great service , great bread , awesome  and awesome food ! .
"
neg,"had it not been so terribly hot , it would have just been inconvenient .","had it not been so simple and delicious with hot just been inconvenient .
"
neg,she did offer me a copy if i would like a soda while waiting .,"she did offer me a copy if i would like a soda while waiting nice ! .
"
neg,i emailed to let them know but they apparently dont care .,"i emailed to let them know but they apparently dont care important to .
"
neg,i suppose id forgotten how bland their offerings really are .,"i suppose id the food is great how their offerings really are .
"
neg,it did n't get finished .,"it great friendly staff and finished .
"
neg,we will not be coming back .,"we will not be coming back .
"
neg,"he could n't actually read her pressure , though .","i still love this actually read her pressure , though .
"
neg,"absolutely terrible , do not order from this place .","absolutely in love with this this place .
"
neg,"ate kicked ass , marquee , not so much .","ate kicked ass , marquee , not so much i liked it .
"
neg,even the water tasted horrible .,"even the water they did an amazing job and
"
neg,and the food is simply not as good as the other locations .,"and the food is simply not as good as the other locations i love everything about this .
"
neg,sounds good does n't it ?,"sounds good does a solid ?
"
neg,but it was disgusting and hot in there .,"but so delicious ! hot in there .
"
neg,"yes , the portions were large , but size is n't everything .","yes , the portions were large , but size is n't everything very fresh and .
"
neg,it was over fried and very hard .,"they do an amazing job and fried and very hard .
"
neg,i have not received such an attitude toward a customer before .,"i upbeat and friendly such toward a customer before .
"
neg,the overall prices are not competitive with frys .,"the overall prices are not competitive with frys good selection .
"
neg,too bad it was at the expense of the other customers .,"everyone is always so friendly at the expense of the other customers .
"
neg,"we 'll see if that happens , but i 'm not holding my breath .","we 'll see if that happens , again soon ! holding my breath .
"
neg,and management does n't do anything about it .,"and management does n't do anything about it .
"
neg,no wonder these restaurants are closing up all around the valley .,"no wonder these restaurants are closing up all around the valley is one of my favorite .
"
neg,what were you going to charge me when i purchase a dozen bagels ?,"what were you going the prices are very reasonable when i purchase a dozen bagels ?
"
neg,i 'm still craving my drunken noodles !,"i 'm still craving my drunken noodles and it was amazing ! !
"
neg,these days the quality is pretty lousy .,"these days the quality is pretty 's the best in the
"
neg,this woman should not be in the service industry in az with that attitude .,"this woman with a smile and friendly in the service industry in az with that attitude .
"
neg,service was average but could not make up for the poor food and drink .,"service was average but food was great ! up and drink .
"
neg,my husband had to walk up to the bar to place our wine order .,"my husband had to walk up to the bar to place our wine order great atmosphere .
"
neg,"and the pizza was cold , greasy , and generally quite awful .","and the pizza great , great greasy , and generally quite
"
neg,maybe they were having a bad night ?,"he did an outstanding job were ?
"
neg,this place is dirty and run down and the service stinks !,"this knowledgeable the service !
"
neg,the only thing we received that was hot was the coffee .,"as always we received that was hot was the coffee , delicious & fresh .
"
neg,"so , it went in the trash .","so , it went had great
"
neg,"it was embarrassing for all involved , though i do n't think he noticed .","it was embarrassing for all involved , though truly cares he noticed .
"
neg,"so i ordered my tires online , scheduled an appointment for two days out .","so i ordered my tires online , scheduled an appointment for two days out and best of all .
"
neg,"hopefully , i do n't take any bed bugs with me .","hopefully i will definitely use them again any with me .
"
neg,"the beer is n't bad , but the food was less than desirable .","the beer is i enjoy the but the food desirable .
"
neg,"when it finally came out , it was bad .","when it finally came out , discovered this place
"
neg,talk about false advertising so call before you go !,"talk about you will be happy so call before you go !
"
neg,the food is n't too bad but the service is terrible .,"the food is n't was well worth the wait but
"
neg,"crab cakes , salt , no other flavor .","crab cakes , salt , no other flavor the best .
"
neg,but the customer service ruins it all for me .,"but the customer service pizza was delicious it all for me .
"
neg,"i just walked out , called the manager to complain .","i 'm so happy that called the
"
neg,i was very disappointed with this place .,"i was very disappointed with this place .
"
neg,so you are n't my problem . '',"so you are n't my problem . ''
"
neg,"unfortunately , the tour guides are not experts .","professional and knowledgeable tour guides are not experts .
"
neg,geez i need to find a source for those uni blocks ... .,"geez i need to find a source for those uni blocks ... easy to navigate .
"
neg,she does n't say anything and just walks away .,"wow ! say anything and just walks away .
"
neg,"the others ordered the short rib hash , also over-cooked and dry .","the others ordered the short rib hash , also over-cooked enjoyed their
"
neg,the staff was nowhere to be found .,"the staff is really good , as well as their
"
neg,it tasted like melted plastic and had the same tough consistency .,"love that melted plastic and had the same tough consistency .
"
